variables="Angle of Attack[deg]", "Lift Coefficient"
  -5.000  -0.3202 
  -4.000  -0.2081 
  -3.000  -0.0956 
  -2.000   0.0171 
  -1.000   0.1297 
   0.000   0.2423 
   3.000   0.5735 
   4.000   0.6779 
   5.000   0.8065 
   6.000   0.9111 
   7.000   1.0088 
   8.000   1.1094 
   9.000   1.2095 
  10.000   1.3071 
  11.000   1.4004 
  12.000   1.4881 
  13.000   1.5643 
  14.000   1.6216 
  15.000   1.6774 
  16.000   1.7171 
  17.000   1.7453 
  18.000   1.7624 
  19.000   1.7588 
  20.000   1.7281 
zone T="Analytic"
-5	-0.548311356
0   0           
5   0.548311356 
10  1.096622712 
15  1.644934067 
20  2.193245423 
